DA,G,N,E,KT002001EH1R3,S,Ch,KR185001E,KR167001E,KR173001E,KR170001E,KR176001E,KR107001E,KR168001E,KR174001E,KR171001E,KR075001E,KR110001E,KR169001E,KR175001E,KR178001E,KR078001E,KR113001E,household_id,HR,Tip
42,2,1,14,1,1,2,6,1,40,1,1,6,2,42,1,1,6,2,40,1,1,3,1111038200,4,4
42,1,1,16,1,1,2,3,1,41,1,1,7,1,41,1,1,7,2,41,1,1,6,1111038200,4,4
33,2,1,16,1,2,0,5,2,32,1,1,7,2,33,1,2,6,2,31,2,1,7,1111038300,2,3
34,1,1,16,1,2,0,5,1,35,1,1,5,1,36,1,1,7,2,34,1,2,7,1111038300,2,3
45,1,1,7,3,3,1,6,2,39,1,1,7,1,45,1,1,4,2,40,1,1,7,1111038400,1,1
37,2,2,15,1,1,2,3,2,36,1,1,7,2,37,1,1,7,2,60,1,1,7,1111039200,4,4
49,2,1,14,1,1,2,10,2,48,1,1,7,1,47,1,15,7,2,49,1,1,7,1111039400,4,4
57,2,1,3,3,1,1,3,2,35,1,1,6,2,47,1,6,6,2,64,2,2,2,1111039800,2,3
35,2,1,14,1,1,1,5,2,31,1,1,7,2,35,1,1,7,2,34,1,1,6,1511039900,3,4
55,1,1,4,1,4,1,3,1,60,1,3,7,1,52,1,1,5,1,65,2,1,7,1111040400,2,3
48,2,1,15,2,2,0,5,1,48,1,1,7,2,45,1,15,7,1,42,3,15,7,1111040400,2,3
39,2,1,16,2,1,1,4,1,37,1,2,7,2,34,1,1,7,2,36,1,1,7,1111040500,3,4
54,1,1,15,1,1,0,6,1,45,1,2,7,1,51,1,1,7,2,70,1,7,7,1111040700,2,3
46,2,1,14,1,1,0,4,2,44,1,2,7,1,48,1,1,7,2,45,1,1,7,1111040700,2,3
38,2,2,7,1,2,0,5,1,43,1,1,5,2,38,1,1,5,2,38,1,2,7,1111040800,1,1
64,2,1,14,1,1,3,4,2,55,1,3,7,2,63,1,6,5,1,65,1,7,5,1111041300,3,3
67,1,1,7,3,1,3,3,1,66,1,1,5,1,64,1,7,5,1,72,1,7,6,1111041300,3,3
31,2,1,8,1,2,0,3,2,32,1,1,7,1,31,1,1,7,2,31,1,1,7,1511041300,1,1
39,1,1,6,1,2,0,5,1,38,1,1,6,1,38,1,15,5,1,38,1,1,6,1311041400,1,1
53,1,2,5,1,2,0,3,1,53,1,2,6,1,56,1,1,7,1,47,1,1,6,1111041500,1,1
47,1,3,15,1,5,1,10,2,47,1,1,5,1,47,1,1,7,1,39,2,1,7,1111041900,2,6
64,1,1,5,3,1,2,5,1,64,1,2,4,1,65,1,7,4,1,64,2,7,3,1111042400,2,3
69,2,1,4,3,5,4,3,2,66,1,1,4,2,69,5,7,4,2,67,2,7,3,1111042900,4,5
35,2,1,7,1,3,1,3,2,28,1,1,6,2,33,1,6,6,1,40,1,1,4,1111042900,4,5
37,2,1,15,1,2,0,4,2,36,1,1,7,2,37,1,1,5,2,33,3,1,7,1711042900,1,1
52,1,1,4,1,2,1,5,1,48,1,1,6,2,48,1,1,5,1,51,1,7,7,1111043200,3,4
50,2,2,8,1,4,2,4,2,49,1,1,6,1,52,1,1,7,2,46,1,1,5,1111043200,3,4
82,2,1,2,3,5,3,5,2,87,1,1,4,2,82,1,7,4,2,72,1,7,4,1111044300,1,1
39,2,1,4,3,1,2,3,2,35,1,1,3,2,40,1,1,4,2,43,1,1,5,1111044500,5,4
74,1,1,5,3,1,3,10,1,75,1,1,2,1,72,1,7,3,1,66,1,7,6,1111044600,4,4
33,1,1,15,1,2,0,6,2,32,1,1,7,1,33,1,1,7,2,31,1,1,7,1711044600,1,1
70,1,1,4,3,5,5,15,1,50,1,1,7,2,50,1,1,7,1,55,1,1,7,1111045100,3,6
27,1,1,12,2,2,0,3,1,27,1,1,7,2,24,1,15,7,1,26,1,1,7,1111045100,3,6
25,1,1,14,2,2,0,3,2,25,1,1,7,1,24,1,8,5,2,25,1,1,7,1111045100,3,6
58,2,1,14,1,1,4,10,2,63,1,1,7,1,63,1,1,7,2,63,1,7,7,1111045500,5,4
63,1,1,16,1,1,4,4,1,62,1,2,7,1,66,1,7,7,1,61,1,1,7,1111045500,5,4
31,1,1,6,3,2,0,4,1,30,1,1,4,1,30,1,1,4,1,30,1,1,5,1111045500,5,4
27,1,1,9,1,2,0,3,1,25,1,1,4,2,23,1,8,5,2,21,1,8,5,1111045500,5,4
19,2,1,13,3,2,0,5,2,19,1,1,5,2,20,1,8,5,1,19,1,2,6,1111045500,5,4
29,2,1,13,3,2,0,4,2,29,1,1,7,2,58,2,1,7,2,19,1,8,5,1911045500,1,1
37,1,1,5,1,3,1,5,2,37,5,1,5,1,40,3,1,7,1,38,1,1,6,1111045900,3,4
47,2,1,14,1,1,2,3,2,46,1,1,7,1,47,1,1,6,1,48,1,1,4,1111046600,4,4
51,1,1,4,1,1,2,4,1,53,1,1,6,1,57,1,1,4,1,51,1,1,4,1111046600,4,4
20,2,1,13,3,2,0,7,2,19,1,1,5,1,20,1,8,5,1,21,1,1,6,1111046600,4,4
17,1,1,9,3,2,0,10,1,17,1,1,4,1,17,1,8,4,1,17,1,8,4,1111046600,4,4
88,2,1,3,3,5,3,5,2,75,1,2,2,2,60,1,7,2,2,58,1,1,5,1111046800,2,5
48,2,1,7,1,2,0,5,2,48,1,3,5,2,48,1,1,5,1,48,1,2,7,1111046800,2,5
45,2,3,15,1,2,2,7,2,47,1,1,7,2,53,1,1,7,1,50,2,1,7,1111047000,3,5
38,1,2,6,1,2,0,4,1,38,1,2,7,1,45,1,1,4,1,39,2,1,4,1111047300,2,3
37,2,1,6,2,2,0,4,2,36,1,2,6,2,36,1,1,5,2,43,1,1,5,1111047300,2,3
33,1,1,15,1,2,1,3,1,37,1,1,4,2,33,1,1,4,1,34,1,1,7,1111048800,5,4
25,2,1,13,3,2,0,3,2,56,2,1,4,1,56,2,1,7,2,24,1,1,7,1111049400,3,4
65,1,1,15,1,1,3,6,2,35,1,1,7,2,64,1,1,7,1,64,1,1,5,1111049800,3,4
61,1,1,4,2,1,2,5,1,60,1,1,7,1,57,1,1,5,2,54,1,6,4,1111050100,2,3
38,2,2,16,1,2,1,3,1,39,1,1,6,2,38,1,1,7,1,38,1,1,7,1111050200,3,4
42,1,1,5,1,2,2,3,1,40,1,1,6,2,38,1,1,6,1,40,1,1,6,1111050200,3,4
38,1,1,6,2,2,1,6,2,36,1,1,7,1,40,1,15,5,1,38,1,1,5,1811050200,2,3
43,2,1,15,1,1,2,5,2,34,1,1,4,2,38,1,1,7,2,42,1,1,6,1111050300,4,4
52,1,1,4,1,1,2,6,1,47,1,1,4,1,33,1,1,4,2,37,1,1,7,1111050300,4,4
28,1,1,11,1,2,0,5,1,26,1,1,3,1,26,1,1,5,2,27,1,1,5,1111051600,4,4
64,2,2,3,3,1,2,6,2,57,5,1,3,2,68,5,6,4,2,67,1,6,4,1111052800,2,3
65,1,2,3,3,1,0,5,1,30,5,1,4,2,57,5,1,3,1,40,1,6,4,1111053100,2,3
64,2,2,4,3,5,2,20,2,63,1,1,3,2,62,1,7,3,2,63,1,7,3,1111053300,1,1
43,1,1,4,1,2,0,3,1,43,1,1,4,1,42,1,1,7,1,41,1,1,4,1111053400,2,5
45,2,1,8,1,1,1,4,2,45,1,1,7,2,43,1,1,5,2,29,1,1,7,1111053500,3,4
68,1,1,14,3,1,1,5,1,51,1,1,7,2,45,1,1,6,1,51,1,1,2,1111054000,3,3
