Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_DONES
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,294,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,75,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,18,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,5,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,204,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,410,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,112,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,23,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,6,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,138,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,408,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,147,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,40,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,17,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,202,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,387,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,121,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,47,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,11,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,178,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,348,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,126,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,35,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,7,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,281,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,497,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,148,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,45,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,10,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,224,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,399,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,137,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,39,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,19,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,226,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,430,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,129,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,45,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,11,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,243,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,443,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,156,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,65,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,24,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,142,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,264,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,96,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,47,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,19,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,156,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,379,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,111,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,37,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,16,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,208,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,407,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,125,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,34,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,19,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,231,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,496,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,178,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,78,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,30,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,238,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,511,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,134,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,48,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,12,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,186,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,332,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,81,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,18,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,13,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,105,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,313,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,102,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,34,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,7,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,94,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,295,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,123,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,34,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,16,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,106,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,423,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,155,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,42,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,14,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,57,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,243,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,90,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,28,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,11,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,75,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,301,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,134,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,36,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,17,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,112,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,481,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,192,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,58,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,15,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,100,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,375,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,156,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,48,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,13,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,80,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,285,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,102,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,33,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,11,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,81,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,406,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,176,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,53,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,24,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,101,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,379,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,158,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,53,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,21,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,60,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,247,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,104,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,33,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,19,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,78,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,251,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,107,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,26,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,6,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,80,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,326,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,134,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,46,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,15,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,109,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,261,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,97,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,28,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,12,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,111,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,290,2
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,138,3
